Year,major,score
2017,生药学,295
2017,药物分析学,295
2017,外科学（学术学位）,295
2017,药剂学,295
2017,药物化学,295
2017,儿少卫生与妇幼保健学,320
2017,公共卫生,285
2017,卫生毒理学,320
2017,药物化学生物学,300
2017,社会医学与卫生事业管理,320
2017,营养与食品卫生学,320
2017,劳动卫生与环境卫生学,320
2017,药理学,295
2017,口腔临床医学,320
2017,病理学与病理生理学,290
2017,中西医结合基础,290
2017,流行病与卫生统计学,320
2017,中西医结合临床,290
2017,地质工程（专业学位）,285
2017,原子与分子物理,300
2017,免疫学,290
2017,防灾减灾工程及防护工程,285
2017,生理学,300
2017,结构工程,285
2017,核技术及应用,285
2017,遗传学,300
2017,放射化学,300
2017,人体解剖与组织胚胎学,290
2017,地质工程（学术学位）,280
2017,病原生物学,290
2017,粒子物理与原子核物理,300
2017,生物化学与分子生物学,300
2017,建筑与土木工程,285
2017,构造地质学,300
2017,气象学,300
2017,养殖,300
2017,地球化学,300
2017,应用气象学,300
2017,大气物理学与大气环境,300
2017,工程力学,280
2017,矿物学、岩石学、矿床学,300
2017,农业经济管理,350
2017,岩土工程,285
2017,气候学,300
2017,固体力学,280
2017,古生物学与地层学,300
2017,农村与区域发展,300
2017,草业,300
2017,畜牧学,300
2017,作物学,300
2017,环境工程（学术学位）,320
2017,植物保护,300
2017,环境工程（专业学位）,285
2017,草学,300
2017,地图学与地理信息系统,300
2017,环境科学,285
2017,自然地理学,300
2017,地球系统科学,300
2017,水文学及水资源,300
2017,人文地理学,340
2017,野生动植物保护与利用,300
2017,第四纪地质学,300
2017,城市与区域规划,300
2017,生物物理学,300
2017,植物学,300
2017,软件工程（专业学位）,300
2017,化学工程,285
2017,生物化学与分子生物学,300
2017,细胞生物学,320
2017,动物学,300
2017,化学工艺,285
2017,发育生物学,300
2017,微生物学,300
2017,应用化学,285
2017,化学,300
2017,计算机技术,300
2017,生态学,320
2017,生理学,300
2017,概率论与数理统计,300
2017,应用统计,345
2017,基础数学,300
2017,基础医学,280
2017,中西医结合,320
2017,临床医学（专业学位）,320
2017,临床医学（专业学位）,320
2017,凝聚态物理,300
2017,运筹学与控制论,300
2017,光学,300
2017, 口腔医学,320
2017,应用数学,300
2017,临床医学,300
2017,计算数学,300
2017,理论物理,300
2017,临床医学,300
2017,基础医学,280
2017,会计硕士,240
2017,国民经济学,380
2017,工商管理硕士,170
2017,金融学,-
2017,保险硕士,-
2017,统计学,-
2017,会计学,-
2017,临床医学（专业学位）,320
2017,临床医学（专业学位）,320
2017,金融硕士,400
2017,企业管理,-
2017,产业经济学,380
2017,临床医学（专业学位）,320
2017,国际政治,345
2017,临床医学（专业学位）,320
2017,税务硕士,-
2017, 招生专业：国际商务硕士(025400) ,-
2017,中共党史,345
2017,政治学（国际政治经济学）,345
2017,口腔医学（专业学位）,320
2017,科学社会主义与国际共产主义运动,345
2017,外交学,345
2017,中外政治制度,345
2017,公共管理硕士,190
2017,金融硕士,385
2017,国际关系,345
2017,口腔医学,320
2017,中西医结合,320
2017,临床医学,300
2017,基础医学,280
2017,语言学及应用语言学,330
2017,临床医学（专业学位）,320
2017,中西医结合,320
2017,临床医学（专业学位）,320
2017,汉语国际教育硕士,360
2017, 临床医学（专业学位）,320
2017,新闻与传播硕士,350
2017,新闻学,330
2017, 临床医学（专业学位）,320
2017,传播学,330
2017,药学,320
2017,戏剧（歌剧艺术）,335
2017,口腔医学（专业学位）,320
2017,基础医学,280
2017,广播电视,300
2017,艺术学理论,365
2017,美术学,365
2017,法学,340
2017,法学,340
2017,法学,340
2017,法学,340
2017,口腔医学,320
2017,法学,340
2017,戏剧与影视学,365
2017,临床医学,300
2017,法律（非法学） ,370
2017,法学,340
2017,法学,340
2017,工商管理,170
2017,航天工程,325
2017,法学,340
2017,法学,340
2017,护理（专业学位）,340
2017,心理学,310
2017,金融,388
2017,药学（专业学位）,320
2017,护理学,340
2017,法学,340
2017,应用心理,350
2017,药学,320
2017,法学,340
2017,航天工程,325
2017,航天工程,325
2017,航空宇航科学与技术,325
2017,公共管理硕士,198
2017,化学,300
2017,航空工程,325
2017,公共卫生（专业学位）,300
2017,航空宇航科学与技术,325
2017,航空宇航科学与技术,325
2017,航空工程,325
2017,航空工程,325
2017,口腔医学（专业学位）,320
2017,公共卫生与预防医学,320
2017,口腔医学,320
2017,公共管理,330
2017,公共管理,330
2017,工商管理 ,170
2017,管理科学与工程 ,330
2017,工商管理硕士,170
2017,力学,-
2017,临床医学,300
2017,信息与通信工程,-
2017,物流工程,-
2017,药学,320
2017,应用经济学,-
2017,工商管理 ,330
2017,电子科学与技术,-
2017,控制科学与工程,-
2017,动力工程及工程热物理,-
2017,金融硕士,340
2017,机械工程,-
2017,金融,330
2017,体育,310
2017,理论经济学 ,370
2017,生物学,300
2017,生物学 ,320
2017,计算机科学与技术,330
2017,电子与通信工程,-
2017, 核能与核技术工程（专业学位）,290
2017,动力工程,-
2017,机械工程,-
2017,大气科学,320
2017,教育学,-
2017,生态学 ,320
2017,核科学与技术,290
2017,新闻与传播,355
2017,基础医学,280
2017,海洋科学,300
2017,法律硕士（法学）,320
2017,法律硕士（法学）,-
2017,地质学,300
2017,岩土工程,290
2017,新闻与传播硕士,355
2017,新闻传播学,355
2017,新闻传播学,355
2017,药学,335
2017,法学,350
2017,药学,335
2017,法律硕士（非法学）,345
2017,药学,335
2017,药学（专业学位）,335
2017,药学,335
2017,风景园林,310
2017,环境工程,325
2017,植物保护,310
2017,农村与区域发展,310
2017,药学,315
2017,畜牧学,310
2017,食品工程,325
2017,环境科学与工程,325
2017,药学,315
2017,药学,315
2017,园艺,310
2017,园艺学,310
2017,食品科学与工程,325
2017,风景园林学,325
2017,兽医,310
2017,管理科学与工程,345
2017,会计硕士,230
2017,翻译硕士,375
2017,金融硕士,340
2017,公共管理,345
2017,政治学,350
2017,工商管理硕士,170
2017,外国语言文学,-
2017,工商管理,-
2017, 生态学,310
2017,工商管理,345
2017, 生态学,310
2017,公共管理硕士,175
2017,应用经济学,360
2017,审计硕士,230
2017,水工结构工程,320
2017,水文学及水资源,320
2017,理论经济学,-
2017,道路与铁道工程,320
2017,桥梁与隧道工程,320
2017,水利工程,320
2017,结构工程,320
2017,应用经济学,-
2017,建筑与土木工程,320
2017,交通运输规划与管理,320
2017,固体力学,320
2017,岩土工程,320
2017,旅游管理,175
2017,工程管理,175
2017,工程力学,320
2017,企业管理,350
2017,市场营销,350
2017,大气科学,300
2017,审计,230
2017,会计,240
2017,会计学,350
2017,技术经济及管理,350
2017,图书情报,230
2017,工商管理,175
2017,物理学,300
2017,旅游管理,350
2017,图书馆学,350
2017,工业工程,320
2017,管理科学与工程,350
2017,数学,300
2017,材料科学与工程 ,330
2017,材料工程 ,330
2017,网络空间安全,290
2017,材料科学与工程 ,330
2017,环境科学与工程,290
2017,软件工程（专业学位）,290
2017,材料科学与工程 ,330
2017,软件工程,290
2017,环境工程（专业学位）,290
2017,材料科学与工程 ,330
2017,化学工程与技术,330
2017,化学工程,325
2017,计算机技术（专业学位）,290
2017,材料科学与工程 ,330
2017,化学工程与技术,325
2017,数学,300
2017,科学技术史,310
2017,化学,310
2017,科学技术哲学,310
2017,计算机科学与技术,290
2017,化学,310
2017,汉语国际教育硕士,380
2017,生物医学工程（专业学位）,325
2017,中国语言文学,355
2017,安全工程 ,330
2017,航空宇航科学与技术,330
2017,中国语言文学,-
2017,计算机科学与技术,290
2017,核科学与技术 ,330
2017,核能与核技术工程 ,330
2017,安全科学与工程 ,330
2017,物理学 ,320
2017,生物医学工程（专业学位）,325
2017,航天工程 ,330
2017,电子与通信工程（专业学位）,290
2017,哲学,310
2017,生物学,310
2017,航空宇航科学与技术,330
2017,集成电路工程 ,330
2017,航空宇航科学与技术,330
2017,电子科学与技术 ,330
2017,力学 ,330
2017,航空宇航科学与技术,330
2017,动力工程及工程热物理 ,330
2017,生物医学工程（学术型）,325
2017,生物学,310
2017,生物学,310
2017,生物医学工程（学术型）,325
2017,生物工程,325
2017,电子科学与技术 ,330
2017,化学工程与技术,325
2017,中国史,310
2017,电子与通信工程,325
2017,材料工程,325
2017,计算机技术,325
2017,材料工程,325
2017,控制工程,325
2017,材料科学与工程,325
2017,集成电路工程,325
2017,电气工程 ,330
